rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/clip_range,train/approx_kl,train/clip_fraction,train/value_loss,train/loss,train/policy_gradient_loss,train/std,train/entropy_loss,train/n_updates,train/learning_rate,train/explained_variance
-90.683837890625,288.0,1300,362,471040,115,0.2,0.0057034716,0.0302734375,0.9118992239236832,0.49101367592811584,-0.001017198307090439,0.9090656042098999,-6.6070740699768065,1140,0.0003,0.9980489611625671
-90.70690155029297,288.0,1297,366,475136,116,0.2,0.0041277325,0.031884765625,0.8411221295595169,0.2980567514896393,-0.0012149095768108965,0.9111652374267578,-6.6161295652389525,1150,0.0003,0.9984760880470276
-90.78215026855469,288.0,1292,370,479232,117,0.2,0.006603581,0.0598876953125,0.8697411701083183,0.32855233550071716,-0.0030238135455874725,0.9094442129135132,-6.618740177154541,1160,0.0003,0.9982013702392578
-90.78767395019531,288.0,1287,375,483328,118,0.2,0.0065951245,0.0302490234375,0.6967104934155941,0.4127383828163147,-0.003788337536389008,0.905045211315155,-6.602291870117187,1170,0.0003,0.9986984133720398
-90.87541961669922,288.0,1281,380,487424,119,0.2,0.0074401405,0.041015625,0.6678947523236275,0.42583736777305603,-0.0025234892033040523,0.8992740511894226,-6.57320020198822,1180,0.0003,0.9981842637062073
-90.91312408447266,288.0,1275,385,491520,120,0.2,0.0035681096,0.0327392578125,0.8048196747899056,0.4275487959384918,-0.0020116775267524645,0.8986858129501343,-6.553711020946503,1190,0.0003,0.9984485507011414
-90.9155502319336,288.0,1269,390,495616,121,0.2,0.0050745923,0.041015625,0.811254332959652,0.33826762437820435,-0.002832565293647349,0.897951602935791,-6.553319716453553,1200,0.0003,0.9983882904052734
-90.95477294921875,288.0,1261,396,499712,122,0.2,0.0066657364,0.0520751953125,0.818073995411396,0.28858068585395813,-0.004700944383512251,0.8975240588188171,-6.548655915260315,1210,0.0003,0.998420774936676
-91.0106430053711,288.0,1253,401,503808,123,0.2,0.005143239,0.051806640625,0.5828743077814579,0.27390703558921814,-0.003256464307196438,0.8919812440872192,-6.534241116046905,1220,0.0003,0.998801052570343
-91.03755187988281,288.0,1257,403,507904,124,0.2,0.0052192793,0.0366455078125,0.7661605030298233,0.4391254484653473,-0.002574976737378165,0.890227198600769,-6.509986448287964,1230,0.0003,0.9983623623847961
-91.07882690429688,288.0,1262,405,512000,125,0.2,0.009597961,0.048779296875,0.7110977739095687,0.33905768394470215,-0.0034547988849226384,0.8897596597671509,-6.505039799213409,1240,0.0003,0.9987079501152039
-91.06742095947266,288.0,1265,407,516096,126,0.2,0.0042818547,0.032666015625,0.7824158906936646,0.473943293094635,-0.001973350820480846,0.8888441324234009,-6.500635206699371,1250,0.0003,0.9983839392662048
-91.10425567626953,288.0,1268,409,520192,127,0.2,0.0057729753,0.04091796875,0.636000033468008,0.29915717244148254,-0.0031268121587345377,0.8894365429878235,-6.500845909118652,1260,0.0003,0.998799741268158
-91.1803970336914,288.0,1273,411,524288,128,0.2,0.0062566316,0.0446044921875,0.5771158777177334,0.18463024497032166,-0.004270678103785031,0.8871234655380249,-6.495432305335998,1270,0.0003,0.9982885122299194
-91.16783905029297,288.0,1276,413,528384,129,0.2,0.007643574,0.0633056640625,0.7162421651184558,0.28549763560295105,-0.0050909861398395154,0.8850833177566528,-6.481735169887543,1280,0.0003,0.9986215233802795
-91.20382690429688,288.0,1277,416,532480,130,0.2,0.00861372,0.1018310546875,0.6446090504527092,0.2719563841819763,-0.005926428880775348,0.8822042346000671,-6.46845246553421,1290,0.0003,0.9987078905105591
